keyword,keyword_secundaria,cluster,intencion_busqueda,tipo_keyword,servicio_asociado,zona,prioridad,url_objetivo,notas
reformas integrales Madrid,reforma completa vivienda Madrid,1-reformas-integrales,transaccional,pilar,reformas-integrales,Madrid,Alta,/servicios/reformas-integrales,keyword pilar principal del cluster 1
empresa reformas Madrid,empresa reformas integrales Madrid,1-reformas-integrales,transaccional,comercial,reformas-integrales,Madrid,Alta,/servicios/reformas-integrales,alto valor comercial; capturada directamente por la página de servicio (sin artículo propio en el blog)
reforma integral piso tiempos fases,reforma integral piso Madrid,6-permisos-licencias,transaccional,comercial,reformas-integrales,Madrid,Media,/blog/plazos-reforma-vivienda-madrid,reasignada a plazos-reforma-vivienda-madrid tras eliminar el artículo que canibalizaba esta intención
reforma baño Madrid,reforma baño completo Madrid,2-reformas-banos,transaccional,pilar,reformas-banos-cocinas,Madrid,Alta,/servicios/reformas-banos-cocinas,keyword pilar baños
cuánto cuesta reformar baño Madrid,precio reforma baño Madrid,2-reformas-banos,transaccional,presupuesto,reformas-banos-cocinas,Madrid,Alta,/blog/cuanto-cuesta-reformar-bano-madrid,intención de presupuesto
plato de ducha vs bañera,ducha o bañera Madrid,2-reformas-banos,comparativa,comparativo,reformas-banos-cocinas,Madrid,Media,/blog/plato-ducha-vs-banera,comparativa de alta intención
reforma cocinas Madrid,reforma cocina completa Madrid,3-reformas-cocinas,transaccional,pilar,reformas-banos-cocinas,Madrid,Alta,/servicios/reformas-banos-cocinas,keyword pilar cocinas
cocina integral a medida Madrid,muebles cocina a medida Madrid,3-reformas-cocinas,transaccional,comercial,reformas-banos-cocinas,Madrid,Alta,/servicios/reformas-banos-cocinas,comercial gama media-alta
encimera Silestone porcelánico granito,mejor encimera cocina Madrid,3-reformas-cocinas,comparativa,comparativo,reformas-banos-cocinas,Madrid,Media,/blog/materiales-cocina-silestone-porcelanico-granito,comparativa de materiales
reforma local comercial Madrid,reforma local Madrid,4-locales-comerciales,transaccional,comercial,reformas-locales-comerciales,Madrid,Alta,/servicios/reformas-locales-comerciales,keyword pilar locales comerciales
reforma oficina Madrid,reforma oficinas Madrid,4-locales-comerciales,transaccional,comercial,reformas-locales-comerciales,Madrid,Media,/blog/reforma-oficina-madrid,comercial B2B
reforma restaurante Madrid,reforma local hostelería Madrid,4-locales-comerciales,transaccional,local,reformas-locales-comerciales,Madrid,Media,/blog/reforma-restaurante-madrid,nicho hostelería
reforma integral vs parcial Madrid,reforma parcial Madrid,12-comparativas,comparativa,comparativo,reformas-integrales,Madrid,Alta,/blog/reforma-integral-vs-parcial-madrid,comparativa de decisión de compra
contratar obra plataforma vs empresa,reforma plataforma vs empresa Madrid,12-comparativas,comparativa,comparativo,reformas-integrales,Madrid,Media,/blog/contratar-obra-plataforma-vs-empresa,comparativa de canal de contratación
cocina abierta vs cerrada,cocina abierta o cerrada Madrid,12-comparativas,comparativa,comparativo,reformas-banos-cocinas,Madrid,Media,/blog/cocina-abierta-vs-cerrada,comparativa de diseño
cuánto cuesta reforma integral Madrid,presupuesto reforma integral Madrid,5-precios-presupuestos,transaccional,presupuesto,reformas-integrales,Madrid,Alta,/blog/cuanto-cuesta-reforma-integral-madrid,artículo presupuesto con alto valor comercial
presupuesto reforma piso Madrid,precio reforma piso Madrid,5-precios-presupuestos,transaccional,presupuesto,reformas-integrales,Madrid,Alta,/blog/presupuesto-reforma-piso-madrid,artículo presupuesto piso
precio metro cuadrado reforma Madrid,coste metro cuadrado reforma Madrid,5-precios-presupuestos,informativa,educativo,reformas-integrales,Madrid,Media,/blog/precio-metro-cuadrado-reforma-madrid,educativo sobre costes generales
licencia obra menor Madrid,licencia reforma piso Madrid,6-permisos-licencias,informativa,educativo,reformas-integrales,Madrid,Media,/blog/licencia-obra-menor-madrid,trámite urbanístico frecuente
cédula habitabilidad reforma Madrid,habitabilidad reforma Madrid,6-permisos-licencias,informativa,educativo,reformas-integrales,Madrid,Media,/blog/cedula-habitabilidad-reforma-madrid,trámite post-reforma
plazos reforma vivienda Madrid,cuánto dura reforma piso Madrid,6-permisos-licencias,informativa,educativo,reformas-integrales,Madrid,Media,/blog/plazos-reforma-vivienda-madrid,planificación temporal; único artículo del calendario centrado en tiempos y fases
contratar empresa reformas Madrid,cómo elegir empresa reformas Madrid,7-consejos-antes-reformar,informativa,educativo,reformas-integrales,Madrid,Alta,/blog/contratar-empresa-reformas-madrid,guía de contratación
reformar antes de vender Madrid,reforma para vender piso Madrid,7-consejos-antes-reformar,informativa,educativo,reformas-integrales,Madrid,Media,/blog/reformar-antes-vender-alquilar-madrid,decisión previa a la venta
preparar vivienda reforma Madrid,qué hacer antes de reformar Madrid,7-consejos-antes-reformar,informativa,educativo,reformas-integrales,Madrid,Media,/blog/preparar-vivienda-reforma-madrid,checklist previo
reforma casa Madrid,reforma chalet Madrid,8-tipo-vivienda,transaccional,comercial,reformas-integrales,Madrid,Media,/servicios/reformas-integrales,sin artículo propio en el calendario actual; keyword capturada directamente por la página de servicio
reforma piso antiguo Madrid,reforma piso años 60 Madrid,8-tipo-vivienda,transaccional,educativo,reformas-integrales,Madrid,Media,/blog/reforma-piso-antiguo-madrid,tipología frecuente en Madrid
